subject,trial,movement,noise,sound,tp_evt,fp_evt,fn_evt,se_evt,ppv_evt,f1_evt,n_pred,n_true,duration
14287,2,walk,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,10.74
14287,2,walk,traffic,throat_clearing,0,2,0,nan,0.0,0.0,2,0,8.49
14287,3,sit,music,cough,7,0,3,0.7,1.0,0.8235294117647058,15,10,7.67
14287,3,sit,music,laugh,0,0,0,nan,nan,nan,0,0,13.08
14287,3,sit,music,deep_breathing,0,0,0,nan,nan,nan,0,0,13.05
14287,3,sit,music,throat_clearing,0,0,0,nan,nan,nan,0,0,8.29
14287,3,sit,nothing,cough,7,3,4,0.6363636363636364,0.7,0.6666666666666666,11,11,8.04
14287,3,sit,nothing,laugh,0,0,0,nan,nan,nan,0,0,11.57
14287,3,sit,nothing,deep_breathing,0,1,0,nan,0.0,0.0,1,0,11.65
14287,3,sit,nothing,throat_clearing,0,0,0,nan,nan,nan,0,0,9.26
14287,3,sit,someone_else_cough,cough,10,0,2,0.8333333333333334,1.0,0.9090909090909091,13,12,8.33
14287,3,sit,someone_else_cough,laugh,0,0,0,nan,nan,nan,0,0,11.52
14287,3,sit,someone_else_cough,deep_breathing,0,0,0,nan,nan,nan,0,0,14.97
14287,3,sit,someone_else_cough,throat_clearing,0,0,0,nan,nan,nan,0,0,10.17
14287,3,sit,traffic,cough,12,3,0,1.0,0.8,0.8888888888888888,23,12,9.03
14287,3,sit,traffic,laugh,0,0,0,nan,nan,nan,0,0,12.63
14287,3,sit,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,10.34
14287,3,sit,traffic,throat_clearing,0,0,0,nan,nan,nan,0,0,9.47
14287,3,walk,music,cough,10,5,2,0.8333333333333334,0.6666666666666666,0.7407407407407407,19,12,10.0
14287,3,walk,music,laugh,0,4,0,nan,0.0,0.0,4,0,12.8
14287,3,walk,music,deep_breathing,0,0,0,nan,nan,nan,0,0,12.54
14287,3,walk,music,throat_clearing,0,0,0,nan,nan,nan,0,0,10.92
14287,3,walk,nothing,cough,6,2,7,0.46153846153846156,0.75,0.5714285714285714,14,13,9.96
14287,3,walk,nothing,laugh,0,0,0,nan,nan,nan,0,0,11.87
14287,3,walk,nothing,deep_breathing,0,1,0,nan,0.0,0.0,1,0,13.34
14287,3,walk,nothing,throat_clearing,0,0,0,nan,nan,nan,0,0,12.36
14287,3,walk,someone_else_cough,cough,7,2,4,0.6363636363636364,0.7777777777777778,0.7,14,11,9.71
14287,3,walk,someone_else_cough,laugh,0,4,0,nan,0.0,0.0,4,0,12.99
14287,3,walk,someone_else_cough,deep_breathing,0,2,0,nan,0.0,0.0,2,0,15.07
14287,3,walk,someone_else_cough,throat_clearing,0,1,0,nan,0.0,0.0,1,0,10.82
14287,3,walk,traffic,cough,11,2,3,0.7857142857142857,0.8461538461538461,0.8148148148148148,18,14,11.25
14287,3,walk,traffic,laugh,0,0,0,nan,nan,nan,0,0,11.94
14287,3,walk,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,12.98
14287,3,walk,traffic,throat_clearing,0,0,0,nan,nan,nan,0,0,10.61
14342,1,sit,music,cough,8,2,8,0.5,0.8,0.6153846153846154,21,16,10.02
14342,1,sit,music,laugh,0,0,0,nan,nan,nan,0,0,9.82
14342,1,sit,music,deep_breathing,0,0,0,nan,nan,nan,0,0,8.67
14342,1,sit,music,throat_clearing,0,0,0,nan,nan,nan,0,0,9.21
14342,1,sit,nothing,cough,7,1,4,0.6363636363636364,0.875,0.7368421052631579,10,11,6.64
14342,1,sit,nothing,laugh,0,0,0,nan,nan,nan,0,0,8.44
14342,1,sit,nothing,deep_breathing,0,0,0,nan,nan,nan,0,0,10.79
14342,1,sit,nothing,throat_clearing,0,0,0,nan,nan,nan,0,0,7.1
14342,1,sit,someone_else_cough,cough,6,1,8,0.42857142857142855,0.8571428571428571,0.5714285714285714,20,14,9.04
14342,1,sit,someone_else_cough,laugh,0,5,0,nan,0.0,0.0,5,0,12.48
14342,1,sit,someone_else_cough,deep_breathing,0,0,0,nan,nan,nan,0,0,10.51
14342,1,sit,someone_else_cough,throat_clearing,0,3,0,nan,0.0,0.0,3,0,9.55
14342,1,sit,traffic,cough,10,1,2,0.8333333333333334,0.9090909090909091,0.8695652173913043,15,12,7.61
14342,1,sit,traffic,laugh,0,0,0,nan,nan,nan,0,0,9.12
14342,1,sit,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,7.09
14342,1,sit,traffic,throat_clearing,0,2,0,nan,0.0,0.0,2,0,8.78
